flight_number,origin_station_code,destination_station_code,record_locator,scheduled_departure_date,question_text,score,satisfaction_type,driver_sub_group1,driver_sub_group2,arrival_delay_minutes,arrival_delay_group,cabin_code_desc,cabin_name,entity,number_of_legs,seat_factor_band,loyalty_program_level,generation,fleet_type_description,fleet_usage,equipment_type_code,ua_uax,actual_flown_miles,haul_type,departure_gate,arrival_gate,international_domestic_indicator,response_group,media_provider,hub_spoke
3802,MKX,ORX,CYXXJJ,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,-24,Early & Ontime,Economy,Economy,Domestic,2,80+,,Gen X,CRJ-200,Express,CRZ,UAX,67,Short,C12,F10,Domestic,non-member,N/A,spoke departure
4645,COX,DEX,DRXXMH,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,food & beverage,food and beverage satisfaction,10,Delayed,Business,,Domestic,2,90+,premier platinum,Boomer,ERJ-175,Express,E75,UAX,72,Short,5,B60,Domestic,member,GOGO,spoke departure
5236,COX,DEX,DEXXS1,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,food & beverage,food and beverage satisfaction,-8,Early & Ontime,Business,,Domestic,2,90+,premier platinum,Gen X,ERJ-175,Express,E75,UAX,72,Short,7,A71,Domestic,member,GOGO,spoke departure
4686,DEX,COX,PXXXLH,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,-11,Early & Ontime,Economy,Economy,Domestic,3,90+,non-elite,Boomer,CRJ-200,Express,CRJ,UAX,72,Short,B82,5,Domestic,member,N/A,hub departure
671,DEX,COX,KZXXH5,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,food & beverage,food and beverage satisfaction,18,Delayed,Business,,Domestic,2,90+,premier silver,Boomer,A319-100,Mainline,19F,UA,72,Short,B24,3,Domestic,member,PANASONIC,hub departure
3947,IAX,CHX,HQXXL6,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,6,Delayed,Economy,Economy,Domestic,2,80+,,Silent,CRJ-200,Express,CRZ,UAX,77,Short,A1E,,Domestic,non-member,N/A,hub departure
3609,EWX,PHX,DPXXGS,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,food & beverage,food and beverage satisfaction,9,Delayed,Economy,Economy,Domestic,2,70+,,Boomer,ERJ-170,Express,E7R,UAX,81,Short,C115,D11R,Domestic,non-member,GOGO,hub departure
4797,LAX,SBX,EBXX0S,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,-14,Early & Ontime,Business,,Domestic,2,0 to 70,premier gold,Gen X,CRJ-700,Express,CR7,UAX,89,Short,86B,5D,Domestic,member,GOGO,hub departure
5099,LAX,DEX,CDXXLV,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-5,Early & Ontime,Economy,Economy,Domestic,2,80+,non-elite,Gen X,CRJ-200,Express,CRJ,UAX,113,Short,1,B54,Domestic,member,N/A,spoke departure
4635,ASX,DEX,BNXXXJ,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,55,Delayed,Economy,Economy,Domestic,2,90+,non-elite,Boomer,CRJ-700,Express,CR7,UAX,126,Short,3,B55,Domestic,member,GOGO,spoke departure
